Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,Compound,Positive,Negative,Neutral,Sentimento
19277,3,0,3,0,1,rt davegetnmoney we dont want no skinny bitches get out we want big booty bitches,-0.8103,0.085,0.463,0.452,Negativo
18390,3,0,3,0,1,rt vibelord your opinion of me is highly irrelevant bitch,-0.6222,0.0,0.312,0.688,Negativo
14724,3,0,3,0,1,rt bigsean suck my dick bitch rt bigsean not only are you terrible you are why hip hop is dead,-0.9545,0.0,0.537,0.463,Negativo
20343,3,0,3,0,1,rt rebelliousmidy ugly bitches definitely disguste me ewww yuck,-0.6705,0.17,0.453,0.377,Negativo
22526,3,0,2,1,1,this hoe taken by the world smh,-0.3182,0.0,0.277,0.723,Negativo
14964,3,0,3,0,1,rt causewereguys how to get unlimited pussy in high school,0.0,0.0,0.0,1.0,Neutro
20023,3,0,3,0,1,rt lovexlilyy dont play games with a girl who can play better bitch,-0.6088,0.154,0.419,0.426,Negativo
11601,3,0,0,3,2,im just tryna get to sleep before the birds start getting rowdy,0.0,0.0,0.0,1.0,Neutro
12558,3,0,3,0,1,kiss imik this bitch just added another seconds to her story i think its a new record,-0.25,0.143,0.194,0.663,Negativo
12115,3,0,3,0,1,inde jus got me all hype at work i knew my bitch candace aint die,-0.1665,0.166,0.201,0.633,Negativo
7005,6,0,0,6,2,panchoftf red and yellow it should be then,0.0,0.0,0.0,1.0,Neutro
11741,3,0,0,3,2,i for one welcome our new eastern panhandle overlords and hope they do a better job than the yokels who got us here in the first place,0.8316,0.286,0.0,0.714,Positivo
7139,3,0,3,0,1,ronsonsolaqa i love you too pussy lmaooo,0.6369,0.457,0.0,0.543,Positivo
3155,3,0,3,0,1,drunkatchurch mzyummydread slide up on a bad bitchdat bitch look good,-0.6597,0.169,0.424,0.407,Negativo
7293,3,0,0,3,2,strawberrycoca ling ling krunkchip,0.0,0.0,0.0,1.0,Neutro
7173,3,0,3,0,1,saucygyro shes a dyke amp looks like shes,0.3612,0.294,0.0,0.706,Positivo
19319,3,0,3,0,1,rt she used to be more fun as a hoe this new you is to positive,0.8016,0.356,0.0,0.644,Positivo
18536,3,0,3,0,1,rt yungrajee no nigga ever ask before he hit either body counts dont matter yall treat all bitches the same anyway,-0.8142,0.0,0.357,0.643,Negativo
1137,3,1,0,2,2,im a mud shark because i have black friends makes perfect sense,0.7783,0.459,0.0,0.541,Positivo
21289,3,1,0,2,2,shylock amp wongs incidents of democrat bigotry in weeks media mum via breitbartnews,-0.4767,0.0,0.205,0.795,Negativo
21356,3,0,3,0,1,smile at the bitches who hate you,-0.7269,0.177,0.539,0.284,Negativo
21106,3,0,3,0,1,see niggas they be mad and all these hoes go,-0.6808,0.0,0.412,0.588,Negativo
6631,3,0,3,0,1,kiefferjason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,0.2057,0.24,0.215,0.545,Positivo
17980,3,0,3,0,1,rt teamadeezy niggas is hoes,-0.34,0.0,0.375,0.625,Negativo
7109,3,0,3,0,1,rellyonsmash liveanduncut my bitch do all that and still go out,-0.5859,0.0,0.275,0.725,Negativo
5663,3,2,1,0,0,allsportsbruh you say waste a draft pick on manziel when we have mallet thats why im telling you to delete your account youre retarded,-0.7579,0.0,0.236,0.764,Negativo
1228,3,0,3,0,1,what to do after the gamehome alone and nothing to dosomeone come chill maybe go ima do ya bitch,-0.7003,0.0,0.254,0.746,Negativo
10312,3,0,3,0,1,i be chillin wit the bitches cuz a lotta niccas fake,-0.7906,0.0,0.5,0.5,Negativo
24331,3,1,2,0,1,fuck her rite in the pussy,-0.5423,0.0,0.412,0.588,Negativo
15006,6,0,6,0,1,rt chayeezy when a bitch got you fucked up but you devoted your life to the lord so you gotta stand there like you aint mad,0.7304,0.29,0.144,0.566,Positivo
19211,3,0,3,0,1,rt coreyemanuel rt shat rt dirtroaddon when deltas smell they own pussy,0.0,0.0,0.0,1.0,Neutro
17488,3,0,3,0,1,rt rickraze why would i be in a relationship theses hoes go still do them,0.0,0.0,0.0,1.0,Neutro
8845,3,0,2,1,1,damn jonniesantana its kinda trash man rt how many of you actually have had a threesome honestly,0.0772,0.152,0.137,0.711,Positivo
2636,3,0,3,0,1,bennybalboa not to yall thou yalll fucking glad bag trash,0.5095,0.268,0.0,0.732,Positivo
6598,3,0,3,0,1,kiefferjason someone yea its very true bitch,-0.2466,0.254,0.335,0.411,Negativo
24299,3,0,3,0,1,everybody fuckin everybody bitch everybody wit the shits thats lifee,-0.7845,0.0,0.463,0.537,Negativo
2725,3,0,2,1,1,thats shit gon be the death of these hoesion like it,-0.7184,0.139,0.417,0.444,Negativo
20158,3,0,0,3,2,rt hun im quitting my job and going to learn to become a psychic now i know what youre thinking well not yet im going,0.2732,0.087,0.0,0.913,Positivo
22650,3,0,0,3,2,thursdays really been trash this season nfl,0.0,0.0,0.0,1.0,Neutro
19942,3,0,3,0,1,rt letsargueboxing staycoolwheels screaming like a little bitch lmaooo,-0.5584,0.184,0.449,0.367,Negativo
2437,3,0,3,0,1,alancasillas haha shit niggah i wish,0.2732,0.504,0.319,0.177,Positivo
13520,3,0,3,0,1,nah we still up rt tweetsnochill all the flat booty bitches asleep yet or nah,-0.6908,0.0,0.358,0.642,Negativo
9664,3,1,2,0,1,get these hoe ass fuckboys off the stage vmas,-0.5423,0.0,0.304,0.696,Negativo
6466,3,0,1,2,2,josephljenkins have heard some hillbilly grumblings that bugs worse in recent years because of mic shutdown,-0.4767,0.0,0.171,0.829,Negativo
17495,3,2,1,0,0,rt rihannahasaids aight game over dykes had to ruin it,-0.5859,0.0,0.297,0.703,Negativo
7197,3,0,3,0,1,yea cause i showed ya bitch ass,-0.8074,0.0,0.646,0.354,Negativo
21117,6,2,3,1,1,seeing elder queer couples marry really is emotional they get to live their final years with equality and with dignity,0.5542,0.203,0.0,0.797,Positivo
18558,3,0,0,3,2,rt yankees gardy goes yardy again he leads off the game with a hr for the second straight night and its yankees,0.2263,0.087,0.0,0.913,Positivo
12494,3,0,1,2,2,kaaspietbloempietlol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet makenzolang maar blanke beslissing is,0.0,0.0,0.0,1.0,Neutro
16553,3,0,2,1,1,rt lettybro yall hoes super weakkkkkkkk,0.5994,0.438,0.0,0.562,Positivo
25265,6,1,5,0,1,you aint a real nigga without goal a to chase and a yellow bone bitch w some toes to paint,-0.5859,0.0,0.202,0.798,Negativo
18485,3,0,2,1,1,rt wolfpackalan oreos first you twist it then you aw crap it broke,-0.6597,0.0,0.329,0.671,Negativo
23843,3,0,3,0,1,you know what fuck that bitch and you didnt react girl its me and you,-0.8074,0.0,0.36,0.64,Negativo
13761,3,0,2,1,1,not us bitches,0.4847,0.611,0.0,0.389,Positivo
22112,3,0,2,1,1,them hoes look so clean on foot,0.541,0.368,0.0,0.632,Positivo
14431,3,0,3,0,1,rt atlprincess a real bitch know she gotta pluck dat nipple hair,-0.5859,0.0,0.275,0.725,Negativo
17034,3,0,3,0,1,rt nikowavy a lot of bitches like to gamble but not with money they put their emotions feelings and heart on the line,-0.1779,0.072,0.101,0.826,Negativo
24447,3,0,3,0,1,the far left looks the best if you ask me bitches try too hard just be yourself especially if youre thick,-0.0258,0.153,0.193,0.655,Neutro
3562,3,2,1,0,0,iamshady thats not even a real word must have hit a blunt and started making up shit with your nigger ass lol,-0.8625,0.093,0.377,0.53,Negativo
18453,3,0,0,3,2,rt whattheffacts actor charlie sheen once bought seats at an angels baseball game in hopes of catching a home run ball,0.4215,0.128,0.0,0.872,Positivo
16137,3,0,3,0,1,rt jayondatass all these girls saying nobody can put em up with em dont no nigga want a bitch as a girlfriend fix that shit,-0.774,0.064,0.292,0.644,Negativo
14074,3,0,0,3,2,out of day care im taking a kitty nap on you hosers,0.4939,0.242,0.0,0.758,Positivo
24769,3,2,1,0,0,niggas aint playin a gram of defense man george need to tell these bitch ass niggas man up,-0.891,0.059,0.473,0.469,Negativo
5489,3,0,3,0,1,mckenzienoel miss you bitch,-0.6597,0.0,0.73,0.27,Negativo
7245,3,0,1,2,2,daisymcgarr like i said i might have to check but im just not sure bird shot counts as getting shot,-0.1761,0.087,0.121,0.792,Negativo
4518,3,0,3,0,1,parhambryce lllexiss alright then well in calling you a pussy also,0.4767,0.339,0.0,0.661,Positivo
19735,3,0,3,0,1,rt jaaayleno dese hoes aint loyal walmart teamignant hoodcomedy flytv lolatl bruh,-0.3724,0.0,0.188,0.812,Negativo
23089,3,0,3,0,1,what mad cunt created masturbating that dude needs a high,-0.6597,0.139,0.444,0.417,Negativo
22284,3,1,2,0,1,these hoes worried bout the wrong things in life,-0.6486,0.0,0.431,0.569,Negativo
9285,3,0,0,3,2,ff has been consistently one of marvels worst properties ultimate ff was good but the entire ultimate universe is now in the trash,0.4939,0.274,0.09,0.636,Positivo
20171,3,0,3,0,1,rt nateturnboy you left prom camping first day cause youre a bitch boy,-0.5859,0.0,0.257,0.743,Negativo
2819,3,0,3,0,1,callneeshcakey i cant bitch,0.4717,0.606,0.0,0.394,Positivo
13101,3,0,3,0,1,maybe i shoulda informed my cousin of my social anxiety before taking me to this over crowded bar on the bright side texas has hott bitches,-0.4019,0.095,0.184,0.721,Negativo
13751,3,0,3,0,1,nobody on planet earth more protective than bull dykes,0.0,0.0,0.0,1.0,Neutro
18132,3,0,3,0,1,rt thevibeking i didnt go wrong when i started talking to you i went wrong when i trusted your bitch ass,-0.0237,0.298,0.265,0.436,Neutro
6601,3,1,2,0,1,kiefferjason i heard your mama raised you like bitch,-0.3182,0.203,0.309,0.488,Negativo
9719,3,0,2,1,1,god damn birds,-0.1531,0.362,0.466,0.172,Negativo
5654,6,1,5,0,1,yo fag rojas,-0.4767,0.0,0.608,0.392,Negativo
14939,3,0,3,0,1,rt canifuckornah im a bitch but a sweetheart u feel me,0.6757,0.415,0.167,0.418,Positivo
10886,6,1,5,0,1,i just want the bad hoes and i wanna reach the children,-0.4767,0.186,0.271,0.543,Negativo
13626,3,0,3,0,1,nigga you is a fool i feel like eatin nd beatin a pussy up,-0.1027,0.174,0.201,0.625,Negativo
7435,3,0,3,0,1,tyracountryman nah gurl this pussy private,-0.1027,0.0,0.219,0.781,Negativo
10741,3,0,3,0,1,i hate ratchet country hoes im ashamed,-0.7783,0.0,0.63,0.37,Negativo
5128,3,0,3,0,1,theredsea shethetruththo bitch yo muthafukin ass reacting off that vain females tweet amp dont no the context her dumb ass dont neither,-0.9434,0.054,0.486,0.46,Negativo
6460,3,0,3,0,1,jonnnycashh pussy,0.0,0.0,0.0,1.0,Neutro
6891,3,2,1,0,0,chingonabe well he is at genos so he is the ultimate faggot,-0.5106,0.127,0.267,0.606,Negativo
18850,3,0,3,0,1,rt elennamichelle erykahminor miss ya too nigger,-0.7096,0.0,0.541,0.459,Negativo
21860,3,1,2,0,1,that hoe beefing over tunchi chillllll ouutttt,0.0,0.0,0.0,1.0,Neutro
8376,3,0,3,0,1,bout to put me some hoes on backpage try my pimp hand out,0.4939,0.211,0.0,0.789,Positivo
10880,3,1,2,0,1,i just wanna slap a couple of yall bitches,-0.5106,0.152,0.371,0.476,Negativo
18100,3,0,3,0,1,rt theonlyreed sooner or later ya pussy gon tellme the truth lets hope its not while im in it cause ima kill u,-0.128,0.18,0.163,0.657,Negativo
22016,3,0,3,0,1,the fuck does a yellow cloud do,-0.5423,0.0,0.412,0.588,Negativo
6311,3,0,3,0,1,iskypeyourmomz and i really be thuggin wtf i look like hanging around some lil chipotle jamba juice ass like,-0.552,0.196,0.296,0.509,Negativo
12112,3,0,0,3,2,innout is like the sunshine and blue sky the song of a bird a smile at the front porch the perfume of the ocean on windkissed cheeks,0.802,0.272,0.0,0.728,Positivo
12710,3,0,3,0,1,life is a bitch but i appreciate her mayne,0.2846,0.324,0.219,0.457,Positivo
7160,3,0,3,0,1,sansim lol avila its simple but i live in a pretty redneck area so it never gets pronounced correctly,0.7351,0.292,0.0,0.708,Positivo
7354,3,0,3,0,1,thejokerxo porn stars are acceptable bro im was talking about these air mattress hoeslol,0.3182,0.15,0.0,0.85,Positivo
287,3,0,0,3,2,yankees down yankees look to rally in the bottom of the rallycap,0.0,0.0,0.0,1.0,Neutro
7844,3,0,1,2,2,all these afternoon groups are trash besides the bubba keegs and furyk group thememorialtournament,0.0,0.0,0.0,1.0,Neutro
13800,3,0,3,0,1,notice i didnt tweet bytches bytch is different from bitch my logic and it werks,-0.5859,0.0,0.226,0.774,Negativo
5131,3,0,3,0,1,thesweetest no shit you are what euros would call a typical american fat as fuck and goes to eat fast food all the time dumb bitch,-0.9468,0.0,0.451,0.549,Negativo
14024,3,0,3,0,1,only the strong survive and that nigga a pussy,0.5106,0.32,0.0,0.68,Positivo
7376,3,0,2,1,1,thisisricklol sexy bitch,-0.1027,0.415,0.463,0.122,Negativo
18147,3,1,2,0,1,rt theparadox faggot rt i was in the club and there was this good lookin bitch she had gold teeth tho i was confused,-0.7978,0.106,0.329,0.565,Negativo
23418,3,2,1,0,0,wish i coulda said more to emmaleeeparkerr tonight good seeing you fag,0.3612,0.335,0.186,0.479,Positivo
10667,3,0,3,0,1,i got these dominican hoes that randomly hit me up every so often amp cant tell if they like me or tryna rob me,-0.2732,0.092,0.133,0.775,Negativo
7244,3,0,0,3,2,brendaskelton daisymcgarr i dont hunt birds unless you count shooting dove out of season off my power line with a bb gun,-0.34,0.0,0.112,0.888,Negativo
16985,3,0,0,3,2,rt nandagorgeous rt if you like,0.3612,0.333,0.0,0.667,Positivo
2976,3,0,3,0,1,creolebabybritt dont make me draw you like one of my franch bitches heffa,-0.34,0.144,0.224,0.632,Negativo
7765,3,0,2,1,1,alcoholdrunk hoe i,0.0,0.0,0.0,1.0,Neutro
3971,6,4,2,0,0,kuntakayne i have never seen such ignorant illiterate pieces of shit in my life bring in natl guard amp disperse this trash bassemmasri,-0.4188,0.071,0.142,0.787,Negativo
24715,3,0,3,0,1,me complains about suburban white girlssuburban white girl youre a bitchme ok u literally just proved my point,-0.1027,0.117,0.138,0.745,Negativo
18051,3,0,3,0,1,rt bitches tweeting relationship goals wno man job or real desire to stop being a hoe or partying every weekend jus a,-0.2023,0.193,0.223,0.584,Negativo
6945,3,1,2,0,1,negrorayrice fuckthemallcops ill continue dis later ill be back bitch,-0.8555,0.0,0.573,0.427,Negativo
14092,3,0,3,0,1,paper over pussy cause pussy bring problems powerofthep,-0.4019,0.0,0.278,0.722,Negativo
18018,3,0,3,0,1,rt thatslutadrian ill be that bitch today,-0.765,0.0,0.569,0.431,Negativo
10799,3,2,1,0,0,i hate when white trash try to act like theyre my equal it only makes it that much clearer how white trash they are,-0.296,0.092,0.136,0.772,Negativo
1544,3,0,2,1,1,who else thinks lip biting is fucking until that bitch bite too hard put a hoe out once for that,-0.6666,0.0,0.243,0.757,Negativo
11135,3,1,2,0,1,i remember when milz drunk ass fell asleep while we where all playing gears smh what a fag,-0.8591,0.075,0.469,0.456,Negativo
20038,3,0,3,0,1,rt manijeetwa jackie weird like bitch hang with ppl ya,-0.4588,0.167,0.367,0.467,Negativo
19310,3,2,1,0,0,rt dirtyskimask lmaooo friday after next you like that yo sons a,0.3612,0.2,0.0,0.8,Positivo
2834,3,0,3,0,1,capodaasshole alejandrobihhh lmaoooo beiber get these hoes wet big bro im tryna tell you,0.0,0.0,0.0,1.0,Neutro
24785,3,0,3,0,1,no lie tho im weak for a pretty bitch have me doing all type of shit that aint really me,-0.8519,0.108,0.421,0.471,Negativo
7782,3,0,3,0,1,all i want is a million dollars and a bad bitch,-0.7906,0.096,0.537,0.368,Negativo
13173,3,0,3,0,1,milk marie she got pretty pussy call it pink cause a nigga fell in love with it,0.8126,0.346,0.0,0.654,Positivo
13521,3,0,1,2,2,nah its overgt people dont tell artists what do to thats defies the definition of what we are trying to show youpeople retards,-0.1027,0.0,0.06,0.94,Negativo
3813,3,0,3,0,1,juicistrawberry kik is for hoesyou either gone shit or get off the pot,-0.5574,0.0,0.231,0.769,Negativo
3263,6,0,5,1,1,flightyung thats what i call a crash dummy hoe,-0.4019,0.0,0.31,0.69,Negativo
18896,3,0,3,0,1,rt bitches jus love to get me madd,0.0772,0.298,0.277,0.426,Positivo
12249,3,0,0,3,2,its gonna be a long season for the yankees if this simulation is right bluejays rays yankees,0.0,0.0,0.0,1.0,Neutro
20477,3,1,2,0,1,rt slllick trey songz reply to nicki minaj gtgtgtgt that nigga spoke the truth on looking ass bitches lmao i knew someone was gonna,-0.296,0.19,0.227,0.583,Negativo
4953,3,0,2,1,1,swishaserbs no bitch linda over kod,-0.7184,0.0,0.6,0.4,Negativo
19342,3,0,3,0,1,rt driswitdacake bitches fwu when they wanna ha na bitch not over here,-0.743,0.119,0.383,0.498,Negativo
21310,3,0,3,0,1,since you hoes wanna be childish,-0.296,0.0,0.306,0.694,Negativo
22903,3,1,0,2,2,virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,-0.357,0.0,0.121,0.879,Negativo
22100,6,0,6,0,1,the world is yours n every bitch in it,-0.5859,0.0,0.352,0.648,Negativo
15802,3,0,3,0,1,rt harmssy rt strangekeith word rt having zero hoes,0.0,0.0,0.0,1.0,Neutro
14328,3,1,0,2,2,rt jihadi killed brendantevlin in nj w at least otherspart of terrorist ring yrs ago,-0.8807,0.0,0.434,0.566,Negativo
4804,3,0,0,3,2,seanrosssapp dont think anyone is mocking the man ive seen people mock the bespectacle of social media mourning cultural zeitgeist of,-0.8126,0.0,0.318,0.682,Negativo
6013,3,0,0,3,2,desamador you gotta be like me n the twins just chug it all before everyone,0.3612,0.161,0.0,0.839,Positivo
20024,3,1,2,0,1,rt lovindadrew i dont know a bitch in the world that claim they too busy for a nigga they really fuck with,-0.183,0.129,0.159,0.712,Negativo
10329,3,0,3,0,1,i be using these fufu bitches,-0.5994,0.0,0.494,0.506,Negativo
14124,3,0,3,0,1,people calling and complaining to spinellis because of our purge speciallmao pussies louisvillepurge,-0.2023,0.0,0.13,0.87,Negativo
17779,3,0,0,3,2,rt spaceplankton saw a man in a yellow hat at the grand canyon today he was hanging out next to a curious gorge,0.6486,0.227,0.0,0.773,Positivo
5020,3,0,3,0,1,thankyouariana no one asked bitch,-0.7184,0.0,0.667,0.333,Negativo
1710,3,0,3,0,1,bitch im weakkk vic,-0.5859,0.0,0.559,0.441,Negativo
15344,3,0,3,0,1,rt devydevblack yung berg trying to fuck all these hoes,-0.5423,0.0,0.28,0.72,Negativo
11213,3,0,2,1,1,i swear these hoes aint got nothing on you,-0.0516,0.0,0.146,0.854,Negativo
18180,3,0,3,0,1,rt tierrraaaaa no sex bitch i only want the neck bitch,-0.8591,0.076,0.573,0.351,Negativo
18448,3,0,3,0,1,rt weloveki hol on bitch,-0.5859,0.0,0.487,0.513,Negativo
636,3,0,3,0,1,bitch freak my shit,-0.8834,0.0,0.912,0.088,Negativo
3124,3,0,1,2,2,doemostdope johnniegoings ha booner has that twitter ha,0.5859,0.444,0.0,0.556,Positivo
17622,3,0,0,3,2,rt uncle leo find iwatch in trash can,0.0,0.0,0.0,1.0,Neutro
12638,3,0,3,0,1,lebron bout to cry lil bitch,-0.7845,0.0,0.633,0.367,Negativo
6182,6,1,2,3,2,geokthree i literally just told blacksins to his face how trash he is at the shop in hooping,0.0,0.0,0.0,1.0,Neutro
5339,3,0,3,0,1,xxpdotjdot she remembers the dick lol and wants it again i recommend you shoot a bitch if she show up she might snap,-0.6369,0.172,0.308,0.519,Negativo
3743,3,0,3,0,1,nooo ambers supposed to kill me fag,-0.8316,0.0,0.609,0.391,Negativo
18215,3,0,3,0,1,rt torahblaze hell yea i dont know whats wrong w the brothas that love these cave hoes so damn much stopitnow,-0.3264,0.226,0.271,0.503,Negativo
23229,3,1,0,2,2,when you colored every day is sunday,0.0,0.0,0.0,1.0,Neutro
8886,3,0,3,0,1,dark skinned girls with blonde hair need to stop it the only bitch that can rock that is dijonay from the proud family,-0.4404,0.107,0.206,0.687,Negativo
21158,9,1,7,1,1,she a hoe cause your boyfriend want her she scary cause she dont talk shit like yall she ugly cause you dont like her grow up,-0.7576,0.124,0.316,0.56,Negativo
11383,3,1,2,0,1,i wish everyone i knew wasnt a faggot a try hard or a sketchball,0.7588,0.556,0.0,0.444,Positivo
5614,3,0,3,0,1,aaliyahhhm i knowww righttt i dont even know how to use this shit how i update my status on this hoe,-0.6428,0.0,0.2,0.8,Negativo
19509,3,0,2,1,1,rt haztv stop forcing ya kids to take these pictures u trying to trap niggas online wit u funky hoes,-0.743,0.0,0.372,0.628,Negativo
11660,3,0,2,1,1,im retarded hungover and all we had were beers a lot of beers,-0.5719,0.0,0.252,0.748,Negativo
18573,3,0,2,1,1,rt yansii this bitch don went super saiyan at walmart,-0.1531,0.238,0.274,0.488,Negativo
2162,3,0,3,0,1,yall like sayin money dont buy happiness but name a niggah sitting in a lambo crying,-0.6555,0.093,0.324,0.583,Negativo
2840,3,0,3,0,1,capodaasshole wiz had a warrant like a bitch,-0.3182,0.243,0.369,0.388,Negativo
7883,3,0,3,0,1,allergies aint bothered me all summer now all of a sudden in the middle of august shit is startin to get real aint that about a bitch,0.1114,0.164,0.118,0.718,Positivo
12185,3,0,3,0,1,it aint nuffin to cut that bitch off,-0.4563,0.156,0.327,0.517,Negativo
1928,3,0,3,0,1,i got i got bitches,-0.5994,0.0,0.661,0.339,Negativo
2912,3,2,1,0,0,shut up chink,0.0,0.0,0.0,1.0,Neutro
18640,3,2,1,0,0,rt this faggit bitch tried to say she hoed for hd bearfaced bitch yusa fag,-0.8934,0.0,0.471,0.529,Negativo
18461,3,0,3,0,1,rt whiteboyceezy these hoes too familiar,0.0,0.0,0.0,1.0,Neutro
744,3,2,1,0,0,jesuschrist was straightgt thats why the faggots killed him period sonofgodgt,-0.8658,0.0,0.492,0.508,Negativo
18192,3,0,3,0,1,rt tittyflex so they both was selling pussy and doing dirt together and they fell out so they putting each other on blast even though,-0.34,0.0,0.091,0.909,Negativo
21547,3,0,3,0,1,son of a bitch,-0.5859,0.0,0.655,0.345,Negativo
17517,6,2,1,3,2,rt go fight against the idf if you progressive trash hate them so much you dont have the guts to do it,-0.743,0.0,0.24,0.76,Negativo
25167,6,0,6,0,1,well aint that a bitch,0.6336,0.721,0.0,0.279,Positivo
3814,6,0,6,0,1,aint no love these hoes,-0.357,0.229,0.408,0.363,Negativo
16379,3,0,3,0,1,rt kiiingjaay im about my commas bitch period,-0.5859,0.0,0.352,0.648,Negativo
525,3,0,3,0,1,lmfaoooooooooooooooooo bbbrooks if your pussy is good but my mama like you guess who gotta mama,0.6369,0.271,0.0,0.729,Positivo
2295,3,0,3,0,1,bitch we hot we done took flight,-0.5859,0.0,0.388,0.612,Negativo
14504,3,0,0,3,2,rt ampowerblog velvethammer parent in phoenix says administrators made her son wear pink fairy wings on first day of high school,0.0,0.0,0.0,1.0,Neutro
100,3,1,2,0,1,chandlerparsons how bout them cowboys shutup pussy,0.0,0.0,0.0,1.0,Neutro
18404,3,0,3,0,1,rt wbeezy idontkiara my pussy dry,0.0,0.0,0.0,1.0,Neutro
19020,3,0,3,0,1,rt babyyhogg ayy fag you still having your party tonight,-0.1027,0.196,0.225,0.58,Negativo
1216,6,0,6,0,1,if you have a different dude every other week you might be a hoe your not dont listen to him ladies dou,0.0,0.0,0.0,1.0,Neutro
9248,6,0,6,0,1,everybody got foreign bitches and foreign cars,-0.5994,0.0,0.394,0.606,Negativo
2955,3,0,3,0,1,coleycee yes bitch i do realize dat,-0.2732,0.257,0.362,0.381,Negativo
3468,3,0,0,3,2,hobsondarlene blessjesus amos can two walk together unless they are agreed differentlevels,0.2732,0.16,0.0,0.84,Positivo
17165,3,0,3,0,1,rt officiallyice rt i fucked your bitch cause she gave me a boner she went down twice like adrien broner freckbars,-0.7717,0.094,0.307,0.599,Negativo
22483,3,0,3,0,1,this bitch tweets been on point the few minutes i been on,-0.5859,0.0,0.275,0.725,Negativo
3655,3,3,0,0,0,jpantsdotcom toddkincannon therealtony im partial faggothomoboth fairly describes the same sick twisted assholes out there,-0.7964,0.0,0.353,0.647,Negativo
