tweet,Positive,Negative,Neutral
 quick piece of pussy call it a drive by ,0.0,0.0,1.0
 running round here like some brand new pussy thats bout to get fucked ,0.14,0.246,0.615
 these bitches even worst theyll send them guys for you ,0.0,0.5,0.5
 these hoes like niggas that spend money not talk bout it ,0.18,0.173,0.647
 we dont trust these niggas all these bitches ,0.149,0.484,0.367
 yall niggas b cuffing hoes cause yall aint never have bitches ,0.0,0.384,0.616
 you dodge a bullet    all da bitches i cut off pregnant or bound to be thank god ,0.213,0.278,0.509
 young pill chamberlain these bitches love my music ,0.298,0.277,0.426
 teanna trump probably cleaner than most of these twitter hoes but,0.119,0.0,0.881
 gay niggas couldnt wait to act like bitches tonight,0.169,0.426,0.405
 and ima steal his cat n replace it with a pitbull  rt  theparadox he a bitch you should do it,0.0,0.318,0.682
amp hes gone always be a hoe,0.0,0.0,1.0
son of a bitch took my tic tacsi like this movie,0.175,0.266,0.559
all i wanna do is get money and fuck model bitches  russell simmons,0.0,0.425,0.575
 i probably  mind school as much if we  have to deal with bitch ass teachers retweet,0.0,0.36,0.64
 im a fucking fag they said,0.0,0.459,0.541
arizzleindacut females think dating a pussy is cute now  how does doing this stuff make him a pussy,0.167,0.0,0.833
 simplyaddictedtoguys  woof woof hot scally lad,0.0,0.0,1.0
adorebellaaa have ya ever asked your bitch for other bitches  kanye voice yes,0.132,0.377,0.49
adorezoey how u gone bring ur side bitch to a game where you know ya gf friends at   i swear,0.14,0.226,0.633
allaboutmanfeet  woof woof and hot soles,0.0,0.0,1.0
allyhaaaaa lemmie eat a oreo amp do these dishes one oreo lol,0.219,0.0,0.781
almightywayne jetsandaswisher gook bitch fuck u  maybe youll get better just ,0.169,0.424,0.407
almightywayne fuck red malone man bitch ass niggah could you please use complete sentences,0.15,0.464,0.386
 why the eggplant emoji doey he say she looked like scream lmao,0.354,0.149,0.497
autoworid hennessey venom gt   thats one sexy bitch,0.385,0.266,0.35
bossbytchh him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,0.0,0.0,1.0
 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,0.0,0.413,0.587
bvsedchink yo fuck skateboarding all yall some wood pushing faggots man ball is life amjemiebenn,0.0,0.372,0.628
babyanimalpics baby monkey bathtime a this is soooo adorable,0.314,0.0,0.686
baylaagottabody  i aint shit  damn skippy lol,0.727,0.0,0.273
beeasyjrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b ,0.0,0.252,0.748
beenbasedb kudabrazyy   rings  mvps  bitches lol,0.262,0.364,0.374
beenflynsolo ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn ,0.118,0.13,0.751
bestproadvice the facts on tattoostattoo  hes a pussy with not tattooing them nipples,0.0,0.0,1.0
  rt nelayden bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches,0.145,0.506,0.349
 get worshiping bitch  woof woof,0.227,0.432,0.341
blackchiquitita wow rt thatmanpalmer im lost are those buttcheek piercings  yeah shes a hoe,0.328,0.126,0.546
blacknerdjade ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her,0.089,0.266,0.645
 whalelookyhere  queer gaywad,0.0,0.0,1.0
brokenpiecesmsc itsnotadam faggot read my tweets after dat k it wasnt even funny lol,0.0,0.477,0.523
brosconfessions this bitch was so ungrateful  fr  lulwhore,0.0,0.542,0.458
cashandboobies i been kidnapped yo bitch,0.0,0.487,0.513
 whitethunduh alsarabsss hes a beaner smh you can tell hes a mexican,0.0,0.204,0.796
ccobey aydanmccoy happy birthday nigs thanks yo,0.569,0.0,0.431
chlldhoodruiner when ur teacher tells u that u have homework  this bitch need to go,0.0,0.273,0.727
   that nigga was eating that hoe lol hell yea lol john paul nigga said john paul ,0.241,0.198,0.56
canifuckornah what would yall lil ugly bald headed bitches do if they stop making makeup amp weave,0.0,0.402,0.598
 leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,0.293,0.31,0.397
causewereguys going back to school sucks more dick than the hoes who attend it,0.0,0.337,0.663
causewereguys on my way to fuck yo bitch  me as a  year old,0.0,0.422,0.578
celeynichole whitethunduh how come you never bring me food i dont have a car retard,0.188,0.0,0.812
chadmfverbeck if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like  prople,0.203,0.107,0.69
chandlerparsons how bout them cowboys shutup pussy,0.0,0.0,1.0
clicquotsuave lmaooooooooooo this nigga krillznuhcare  ltbitch want likes for some depressing shitfoh,0.261,0.166,0.573
coleycee lilaerii girl you know i was spitting that g shit to you amp you was going lbvsbitch plz,0.065,0.181,0.754
coleycee let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,0.05,0.166,0.784
comedyposts harlem shake is just an excuse to go full retard for  seconds,0.079,0.311,0.61
comedytruth amen miley   but she dont need to act like a hoe just bc shes emotionally damaged foh,0.147,0.174,0.679
corybandz having one loyal female is wayyyyy better than having hoes  idc ,0.375,0.0,0.625
crhedrys pussy licking pussy meow meow   ,0.0,0.0,1.0
dbabholloway check out our  man cowboysnation even with all those faggot ny fans in the stands,0.0,0.227,0.773
dgotbricks what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0.095,0.294,0.611
daedavidavie whitethunduh im the bitch okay nudes pat  wow,0.368,0.245,0.387
devilgrimz vigxrarts youre fucking gay blacklisted hoe holding out for tehgodclan anyway ,0.0,0.0,1.0
diamondloudkush the fuck be wrong with these bitches nobody knows,0.0,0.6,0.4
 yall shut upp make me bitch,0.0,0.432,0.568
dionairish i hate a im pregnant type of bitch,0.0,0.6,0.4
doyouq got bitches in the dm but i dont ever readem which is y your top ,0.132,0.147,0.721
domworldpeace baseball season for the win yankees this is where the love started,0.421,0.0,0.579
dommoneek little stupid as bitch i dont fuck with yoooooouuuu,0.184,0.429,0.387
dreadheadari she really asked me that dead ass serious tho all i could say was bitch wheet lol,0.101,0.466,0.433
dunderbail im an early bird and im a night owl so im wise and have worms,0.194,0.0,0.806
edgarpixar overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,0.147,0.185,0.668
 pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,0.241,0.0,0.759
ferociousghost  aw fag dont tweet aw to me lol,0.217,0.24,0.543
 as long as the lakers trash from now on i could careless and thats real cc benballer hahaha,0.171,0.118,0.711
frosstyy  i didnt say anything tho kiss me then faggot,0.197,0.31,0.493
funnypicsdepot this the i play soccer cheat on girls and wear khaki coloured cargos haircut   yup,0.13,0.163,0.707
 i could go for a fat ass bitch on my lap same,0.0,0.477,0.523
gedmelle  missed calls  yo po bitch twitter finna be screamn freemoneymelle,0.0,0.545,0.455
gtmal ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao ,0.0,0.16,0.84
    amo los pies  fuck yeah,0.253,0.402,0.345
girlthatsvonte these hoes be thinking meat wont slap they ass  ainna bruh,0.199,0.101,0.7
girlthatsvonte yall bitches wit no edges be doing the most talking ,0.0,0.404,0.596
girlthatsvonte yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,0.157,0.36,0.483
girllssues i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,0.078,0.389,0.533
 if she kiss u with her eyes open watch that bitchlmfao,0.237,0.0,0.763
goofstroop you a woulda coulda shoulda ass hoe ,0.0,0.368,0.632
gottiltf happy bday bitch ass nigga jetsandaswisherpreciate that bitch roll up,0.17,0.509,0.321
hbmostdope  pipinhoes used to send that bitch up,0.0,0.352,0.648
hbmostdope ugly bitches be like im my own wcw duh bitch you aint nobody ,0.106,0.468,0.426
halotgmg  nigga you know we hacky sack hoes nah i throw no look passes lmao,0.211,0.195,0.595
heartlessfuck glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em,0.054,0.462,0.484
hermosaalma this isnt ghettoits smart  im doing this idc,0.0,0.22,0.78
hiimjorib i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,0.0,0.229,0.771
hornyfacts being single isnt an excuse to be a hoe theonemissluu,0.0,0.12,0.88
 white boy power bitch black power bitch,0.0,0.603,0.397
 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill,0.071,0.44,0.489
iscoutgirls verballyabrupt bitch where u been around the world and back where you been,0.0,0.241,0.759
itsyahboiray anelylove if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off  by anelylove ,0.165,0.315,0.52
itsyesie oomf is soooo cute but he probably has hoes on him a lot,0.143,0.0,0.857
 in every cartoon theirs alway a  saving these hoes lmao  lmao damn captain saveahoe,0.38,0.132,0.488
jreebo who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs,0.0,0.277,0.723
jamesynba i wish i was a bitch like my brother keezy  ooooow i bet you do,0.289,0.211,0.5
jasminepore if you dressed up as a cat for halloween you are basic or a pussy,0.0,0.0,1.0
jewelxo can pornhub just get a gaming stream feature so these dumb bitches can gtfo pornhub get on it ,0.0,0.326,0.674
joebudden stop being scared to choke her during sex u bitch ass niggas  like it says the guy who hits women out of bed foh,0.066,0.484,0.45
 whitethunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,0.433,0.0,0.567
kazatta  oh man its  am you off a molly ho where the fuck ya seed at fixed,0.0,0.189,0.811
kelsiebelsi youre not a man if you refer to every girl as a bitch,0.0,0.257,0.743
keyshawnswag lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,0.283,0.113,0.604
keyshawnswag peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,0.0,0.0,1.0
kingcuh  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,0.345,0.0,0.655
 vondreaam naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne,0.104,0.0,0.896
kingteej ol dirty foot ass bitches this was too funny to me,0.137,0.486,0.377
 whitethunduh thats where i get my yellow flags for being amazing  hell yeah niggy,0.291,0.223,0.485
kissmysmilee dont got time for bitches to be actin iffy,0.0,0.302,0.698
knightfanneal ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,0.275,0.0,0.725
kyranadiya these hoes aint loyal  no they aint smfh amp wonder why nobody decent wants them,0.102,0.138,0.759
lcistj bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,0.053,0.301,0.646
lodycash dry pussy bitches always blame it on the ,0.0,0.474,0.526
lunaraps shut yo bitch ass up  ,0.0,0.646,0.354
laflaregodjosh gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,0.0,0.0,1.0
latrobemark you love these hoes more then money wats wrong these niggas,0.225,0.294,0.481
lebronvuitton a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,0.367,0.128,0.505
lilfridayhoe easy cum easy hoe thats a fact ,0.537,0.0,0.463
lifeasbros charlie sheen is too real  major fucking respect for charlie sheen,0.236,0.0,0.764
lightskingawdd wish i had a bae  got all the hoes tho,0.252,0.0,0.748
 fuck twerking bitch can you cook ,0.0,0.646,0.354
linniekravitz wesgodlaflare bitch wtf ,0.0,0.792,0.208
lipethegreat  lipethegreat shut up zoe fight me  for zoe im good man you are good maam move along now,0.238,0.107,0.656
lolaaisdope lmao fucking snake bitches  em,0.323,0.346,0.331
loveableaizah big booty hoes everywhere sheesh  damn ,0.0,0.31,0.69
mlbnetwork stay tuned to mlbnetwork for an update on the report that yankees   will be out  weeks  bum,0.0,0.0,1.0
mrad  i play soccer cheat on girls and wear khaki coloured cargos haircut  yes ,0.282,0.166,0.552
madflyentist oregon chokes every year get off the field trash ass program rft,0.0,0.371,0.629
mannydiesel def not cowboy lol rt artoffloyd terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo,0.195,0.254,0.552
markroundtreejr lmfaoooo i hate black people  this is why theres black people and niggers,0.0,0.236,0.764
  gabrielastarr how could u do this to me bitch potent,0.0,0.322,0.678
  a pissed lad past out i would lick his dirty soles while he slept,0.0,0.415,0.585
  love frat boy w soft long soles,0.457,0.0,0.543
  sexy lad with hot soles and arches,0.362,0.0,0.638
megamindnick whitethunduh nah fam i gotta cheat with the hoes depends on the female i feel,0.0,0.268,0.732
meshanojas vontethekidd  i got hicks lol,0.412,0.0,0.588
migsmichelen this new twitter is confusing the shit out of me go back to south america bitch,0.169,0.241,0.591
 toto means ass or vaginai think pussy cause toto santi is like nasty pussy,0.121,0.345,0.534
mikelahenry but what if he actually does choose the ugly bitch over you  ass must be fat,0.0,0.507,0.493
mileycyrus bitch couldnt kill my vibe if ya tried  dis why i love miley ,0.365,0.175,0.46
montrell im tired of bitches saying i look mean  nigga you big af wear tight shirts and grim everybody,0.0,0.412,0.588
motherjones  birds your grandkids may never see thanks to climate change   climate,0.0,0.179,0.821
mvckfadden stay beautiful you bitch,0.364,0.355,0.28
nickiminaj wutkindar purple ceeeleeeman this gurl was jus playin on the stupid hoe  track but in still shitted on sum gurls,0.0,0.232,0.768
nastycopper money getting taller and bitches getting blurry,0.0,0.469,0.531
newsomejade i aint never seen a bitch so obsessed with they  im obsessed with mine ,0.0,0.412,0.588
 kobe stay talking trash but lets not forget   i meant to do this one smh,0.118,0.174,0.708
nochillpaz at least im not a nigger lmfao,0.305,0.252,0.443
nofakingg people always asking me what im mixed with she a bad asian bitch lol,0.133,0.346,0.521
 whiteponyjr ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,0.208,0.198,0.594
osayitaintso  fosters home for imaginary  whoa chillthat show was everything tf,0.0,0.0,1.0
officialreplay i am lowkey tired if you tired be quiet and go to sleep hoe,0.0,0.326,0.674
prayingforhead  stop bringing weird niggers into my mentions  ,0.0,0.394,0.606
prettybossbrat we dont love these hoes ,0.0,0.402,0.598
patrickquelo if yo girl cant have homeboys you a ol weak bitch ass nigga,0.0,0.505,0.495
  i think worst advice i gave you was  dont be a pussy and speed up lol,0.156,0.229,0.615
poemsporn quote this tweet with your favorite animalpussy,0.3,0.0,0.7
poeticsuccess i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper,0.0,0.171,0.829
poffalicious andrewbryant poff has double vision after  beerspoff  double pussy  smh,0.15,0.173,0.677
poobie when bitches twerk on the computerme in ya  in ya damn ,0.0,0.398,0.602
prodsjewel   peacepunkprince prince this is art  nobody takin his bitch,0.0,0.297,0.703
  of welfaregovernment aid is claimed by white people so yall black slander is trash now,0.0,0.0,1.0
 these bitches dont care they just play that role,0.161,0.437,0.402
queenkaaat it took a while for you to find me but i was hiding in the lime treeiemonaids dis bitch in da wrong tree bro,0.0,0.378,0.622
rtnba drakes new shoes that will be released by nikejordan yes theres glitter on the shoes  dudes a fag,0.124,0.142,0.734
rachiesoul dizzleofficial inna di ghetto you alone lmaoo,0.0,0.222,0.778
ramboutit   ramboutit hoes  teach us austini teach u how to get curved thats all i know,0.0,0.0,1.0
reachtheeclimax bitches cant cook but know how to suck dick  so to the ones that can do both,0.0,0.417,0.583
renegademo fat hoes get chose lol,0.359,0.0,0.641
riahsm hoesaintloyal well theyre hoesno one expects them to be loyal,0.366,0.0,0.634
rishaawilliams treshonscrooge nevertrustt ol bitch ass ,0.0,0.646,0.354
rnadjorell bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,0.069,0.458,0.473
sactownprodigy just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,0.266,0.198,0.536
samjlayman  holy shit freddie highmore was in charlie and the chocolate factoryme rolls on the floor laughing,0.147,0.165,0.688
samirahusic i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot,0.108,0.243,0.649
sexualgxfs  one of your followers with this    somebody bitch if you dont,0.0,0.257,0.743
shaajenkins if ya bitch always bitching clearly she care or just an annoying bitch,0.224,0.471,0.304
shantaughther these catfish hoes thinkin they slick but niggas catching on ,0.0,0.237,0.763
shewenttojordan cant worry about a bitch that aint worried bout me real,0.479,0.0,0.521
showarrive side hoes are for insecure niggas that cant handle a real one,0.0,0.342,0.658
shunstokes   lmao this bitch come scooting in the tent like she about to fuck some shit up ,0.213,0.387,0.4
shunstokes my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers ,0.437,0.0,0.563
slimgirlprobz im hungry but ionn wanna spend my money on  hoe problems ,0.0,0.244,0.756
smeegbaby dese hoes be lyin to all of us nigga,0.0,0.0,1.0
snakecharmsdump  oh yeah fuck that bitch,0.176,0.584,0.24
sportscenter eli manning just threw his nflleading  interception of the season lmao trash,0.245,0.0,0.755
sportscenter usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team   hes a bitch,0.0,0.342,0.658
stellatex guess what i also have zero time for your mansplaining adios stfu pussy,0.0,0.0,1.0
stephenwildboy chilling   sexy scally lad,0.453,0.147,0.4
strap i aint sharing no bitch if you mines you mines ,0.347,0.163,0.49
sukmysweetness money only impress the simple broke bitches,0.199,0.459,0.342
sylvieamx pisces will never be anybodys bitch they dont let people control or change them rigghhht,0.17,0.0,0.83
teejonez  kingcuh tuku ho idk blah blah blah ,0.0,0.583,0.417
teejonez kingcuh  im not mad cuh hahaha suure tuku ho ita ,0.181,0.201,0.618
tayknosbest these hoes is crazy,0.0,0.375,0.625
taylorrbabee you aint ever gonna be a slice bitch kevin hart ,0.0,0.297,0.703
thatniggatroy oomf so fuckin fine tho  dam  her dont be no bitch,0.439,0.0,0.561
thegamerkingkev i wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags,0.0,0.0,1.0
thenewsat newsatquestionsyeah bitch yeah bitch call me a maybeb steveoc laterd jesse pinkmanmachinegunkelly,0.117,0.404,0.479
thenymphotweets hickies in between her thighs right by her pussy gtgtgt its only right,0.0,0.0,1.0
theonemissluu would you still love me when im no longer young and beautiful no ugly monkey ass,0.267,0.37,0.363
 jetsandaswisher gook yall come through the frontbitch i aint coming,0.0,0.0,1.0
 jetsandaswisher faggot bitch ,0.0,0.891,0.109
therealistsam  yea im on my ipad i dont work this friday lets ball this faggot up tropicalblanketi work ,0.0,0.247,0.753
  this scally lad would get it,0.0,0.0,1.0
theomaxximus gerryshalloweenparty  halloween was yesterday stupid nigger,0.0,0.606,0.394
theomaxximus chrus still supahot tho walks up to teacher with test drops test in that bitch fohead ,0.0,0.192,0.808
  i love eating pussy lol i never get full  i can eat that shit forever lol and ever,0.402,0.148,0.451
tmaccgfg  tmaccgfg  no slushes  nasty anyway  hoes taste like ,0.175,0.406,0.42
tmaccgfg  no slushes  nasty anyway ,0.0,0.659,0.341
tmaccgfg bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout,0.098,0.331,0.571
trelekidd yo bitch is gucci mane rt jabarithegreat  my bitch a stoner  ,0.0,0.458,0.542
tweetgamelazy i can ride your bitch with no handle bars,0.0,0.462,0.538
tyjoncuffee and if you aint a hoe get up out my traphoussseeeee,0.0,0.0,1.0
uberfacts  sad tv character deaths were still bitter over   stark was the man,0.0,0.349,0.651
unholyjack these harbor bitches are all party bus hoes lol all,0.316,0.224,0.46
  pussy love it,0.677,0.0,0.323
veronikahumbert ultraviolence video its coming you little bitch mtvhottest lana del rey  bitchy promo,0.0,0.362,0.638
vineforthebyrd on my way to fuck your bitch lmfao kittycopter,0.197,0.41,0.393
wbur a smuggler explains how he helped fighters along the jihadi highway ,0.0,0.323,0.677
wbeezy quathegreat aww their avis look so cute together    do i gotta get ike avi on this bitch ,0.165,0.193,0.642
wbeezy rundrc its simple dont be a hoedont worry about being exposed  fight mewhy ,0.148,0.239,0.613
wannabekanye whys this bitch boosting herself her size isnt exactly the most healthy tho,0.258,0.215,0.526
withaprettyface  bet not be no bitches   kim bye,0.456,0.0,0.544
xxpdotjdot damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,0.089,0.432,0.479
xojennygirl im making marack my girlfriend  marackaf aye b you pullin hoes just like o taught you,0.152,0.0,0.848
xoxoangiee bruno fag boy you love me,0.341,0.252,0.407
yehitsvon  i must be a  you are  sike naw this why we always beefing ,0.0,0.0,1.0
yankees down  yankees look to rally in the bottom of the  rallycap,0.0,0.0,1.0
youngricooo  dont take advantage of a nice  hoes everyjuan,0.266,0.165,0.569
youngricooo happy birthday bitch nigga  thanks pal,0.458,0.264,0.278
youngricooo sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday,0.14,0.14,0.72
yungmigo  cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,0.211,0.099,0.69
  e said that last sundayas in the last sunday i was there read it again ,0.0,0.0,1.0
badabing i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,0.13,0.161,0.709
beedontcare my pussy still fresh lt something stank girls say,0.174,0.22,0.606
geewillikers ass slapping is one the greatest things haha  i slapped a girl on the ass  she got mad i aint get pussy for a week,0.209,0.297,0.494
tommycollins wearerichnow buffalobills yeah texans are so much better you fucking retard i see that youre mad about this,0.205,0.262,0.533
malibubarbie nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here,0.168,0.27,0.561
sugga theres a lane some bitches need to stay in  the left n get right the fuck outta our face ,0.0,0.316,0.684
sneakyb i hate when boys deny that they have bitches  smh,0.0,0.672,0.328
taradise ya nigs out there still saying yall dont eat butt with a straight face,0.128,0.0,0.872
yourewelcome im a boss ass bitch that needs to sit in a corner,0.0,0.448,0.552
iwantfranny hes a hoe  i cant,0.0,0.0,1.0
 me and paul thinkin bout gettin rentals for da weekend  shit bitches betta stay out da streets,0.0,0.333,0.667
rapdreams bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story ,0.0,0.1,0.9
simplycaitlin why do my friends hate me because you a ratchet hoe,0.196,0.234,0.57
adriwadrri no love for these fuck niggas hoes,0.258,0.497,0.245
 hot meat  sexy as fuck scally lad i would love to meet him and his trainers,0.329,0.152,0.519
 sniff  perved up scally lad fuck yeah,0.206,0.327,0.467
 these bitches love sosa,0.416,0.386,0.198
alexissixela  i legit watched it for about  or  seconds  did i wtf prob cause were retarded smh,0.0,0.45,0.55
allisonnamaya what should i name my cat ideas mr pussy,0.0,0.0,1.0
  woof woof sexy thug boy scally,0.405,0.0,0.595
ambitiousbree  u see the damn phone ringing  when you married bitches makes demands you havent called me,0.0,0.32,0.68
analicialouise tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe,0.31,0.0,0.69
angelenagoley  sex positions   this what u call fucking the soul outta bitch ,0.0,0.275,0.725
ashlingwilde itsnotadam is bored supposed to be cute you faggot sometimes,0.171,0.371,0.457
ayyeeceee one mans trash  is another mans treasure ,0.239,0.0,0.761
babineaux i dont got no type bad bitches is the only thing i like iongotnotype,0.211,0.356,0.433
bigbootybishopp whitethunduh lassen cc  the coach wants me i feel it youll get more my nig no doubt,0.0,0.249,0.751
bleedingtrap god teeth  gold chainwhite bitches  cocaine,0.191,0.355,0.455
cheetahbluntz its me hoe its me  shhhhh,0.0,0.0,1.0
chieflottahoes in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe,0.0,0.0,1.0
 im gonna miss that bitch of a bus driverno you wont dont lie,0.0,0.351,0.649
 hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone  on my soul,0.0,0.363,0.637
complexuk ashley young has tried to deny that bird s landed in his mouth gt   hahaha,0.284,0.119,0.597
datfullerkid trevaughnlg yall both gimped up aint tht a bitch huh lol,0.395,0.0,0.605
deepthroatmike boyssouth take me for a ride   woof woof,0.0,0.0,1.0
demieggleton oh my god i love victoria mitchell all my bitches love me,0.469,0.174,0.357
djsliime that long distance shit wack i knew the bitch was cheating uh oh,0.0,0.524,0.476
fiirting hes doing it right   no bitches smh,0.0,0.627,0.373
 they ban dat pussy for life amp he gotta pay  millon dollar fine,0.107,0.298,0.595
fuckcamoclark roses are red and violets are blue and niggers are black you know thats true ,0.157,0.0,0.843
 sitting on my window sill window open bird tries to fly in smacked it protecttheanimals peta,0.0,0.0,1.0
glowstruck but a nigga gon be a nigga be a nigga you sound fuckin retarded,0.0,0.315,0.685
greggutfeld a video an entire media will likely mock  i am such a crybaby,0.0,0.219,0.781
gurlimangie itskiaraaaa westyourmajesty im not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,0.232,0.0,0.768
haitiangold tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh ,0.0,0.161,0.839
hazelebaby karma is a bitch damn godprotectshisangels  tea,0.0,0.565,0.435
hornyjhb fuckin hot gym pussy  fuck yeah,0.206,0.327,0.467
hxhassan jihadi patron hajjaj alajmi is arrested at kuwait airport ,0.0,0.256,0.744
iampickuplines you can call me fireman cause i turn the hoes on,0.0,0.0,1.0
